0 0 0
0.0264741 0.000215532 5.4879e-09
0.03744 0.00084752 2.31771e-08
0.0458544 0.00186975 5.5018e-08
0.0529482 0.00325134 1.03026e-07
0.0591978 0.00495801 1.69177e-07
0.064848 0.00695349 2.55321e-07
0.0700438 0.0092006 3.63108e-07
0.07488 0.0116624 4.93934e-07
0.0794222 0.0143031 6.48912e-07
0.0837184 0.0170885 8.28859e-07
0.0878046 0.0199869 1.03429e-06
0.0917089 0.0229692 1.26545e-06
0.0954536 0.0260091 1.52229e-06
0.0990569 0.0290833 1.80458e-06
0.102534 0.0321712 2.11182e-06
0.105896 0.0352553 2.44341e-06
0.109155 0.0383204 2.79856e-06
0.11232 0.0413542 3.17641e-06
0.115398 0.0443463 3.57599e-06
0.118396 0.0472885 3.99632e-06
0.121319 0.0501742 4.43638e-06
0.124174 0.0529986 4.89512e-06
0.126965 0.0557581 5.37155e-06
0.129696 0.0584505 5.86468e-06
0.13237 0.0610745 6.37355e-06
0.134992 0.0636294 6.89727e-06
0.137563 0.0661157 7.43498e-06
0.140088 0.068534 7.9859e-06
0.142567 0.0708856 8.54929e-06
0.145004 0.0731721 9.12447e-06
0.147401 0.0753955 9.71084e-06
0.14976 0.0775578 1.03078e-05
0.152082 0.0796612 1.09149e-05
0.154369 0.0817083 1.15317e-05
0.156623 0.0837012 1.21577e-05
0.158844 0.0856426 1.27926e-05
0.161036 0.0875348 1.34361e-05
0.163197 0.0893802 1.40879e-05
0.165331 0.0911812 1.47478e-05
0.167437 0.0929401 1.54155e-05
0.169517 0.0946591 1.60908e-05
0.171572 0.0963403 1.67737e-05
0.173602 0.0979858 1.7464e-05
0.175609 0.0995976 1.81615e-05
0.177594 0.101178 1.88663e-05
0.179556 0.102727 1.95781e-05
0.181497 0.104249 2.0297e-05
0.183418 0.105744 2.10229e-05
0.185319 0.107214 2.17557e-05
0.1872 0.108659 2.24955e-05
0.189063 0.110083 2.32422e-05
0.190907 0.111485 2.39959e-05
0.192734 0.112868 2.47564e-05
0.194544 0.114232 2.55239e-05
0.196337 0.115578 2.62983e-05
0.198114 0.116908 2.70797e-05
0.199875 0.118222 2.7868e-05
0.201621 0.119521 2.86634e-05
0.203351 0.120806 2.94657e-05
0.205067 0.122078 3.0275e-05
0.206769 0.123338 3.10914e-05
0.208457 0.124586 3.19149e-05
0.210131 0.125823 3.27455e-05
0.211793 0.127049 3.35832e-05
0.213441 0.128266 3.44281e-05
0.215076 0.129474 3.52801e-05
0.2167 0.130672 3.61394e-05
0.218311 0.131863 3.70058e-05
0.21991 0.133045 3.78795e-05
0.221498 0.13422 3.87604e-05
0.223075 0.135389 3.96486e-05
0.22464 0.13655 4.05441e-05
0.226195 0.137705 4.14468e-05
0.227739 0.138855 4.23569e-05
0.229272 0.139998 4.32742e-05
0.230796 0.141137 4.41988e-05
0.232309 0.14227 4.51308e-05
0.233813 0.143399 4.607e-05
0.235307 0.144523 4.70165e-05
0.236791 0.145643 4.79704e-05
0.238267 0.146758 4.89315e-05
0.239733 0.14787 4.98999e-05
0.24119 0.148979 5.08756e-05
0.242639 0.150083 5.18586e-05
0.244079 0.151185 5.28488e-05
0.24551 0.152284 5.38462e-05
0.246934 0.153379 5.48509e-05
0.248349 0.154472 5.58628e-05
0.249756 0.155562 5.68819e-05
0.251155 0.15665 5.79082e-05
0.252547 0.157735 5.89416e-05
0.25393 0.158818 5.99822e-05
